author,tag,quote
b'Albert Einstein',b'change',b'\xe2\x80\x9cThe world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.\xe2\x80\x9d'
b'J.K. Rowling',b'abilities',"b'\xe2\x80\x9cIt is our choices, Harry, that show what we truly are, far more than our abilities.\xe2\x80\x9d'"
b'Albert Einstein',b'inspirational',b'\xe2\x80\x9cThere are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.\xe2\x80\x9d'
b'Jane Austen',b'aliteracy',"b'\xe2\x80\x9cThe person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.\xe2\x80\x9d'"
b'Marilyn Monroe',b'be-yourself',"b""\xe2\x80\x9cImperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.\xe2\x80\x9d"""
b'Albert Einstein',b'adulthood',b'\xe2\x80\x9cTry not to become a man of success. Rather become a man of value.\xe2\x80\x9d'
b'Andr\xc3\xa9 Gide',b'life',b'\xe2\x80\x9cIt is better to be hated for what you are than to be loved for what you are not.\xe2\x80\x9d'
b'Thomas A. Edison',b'edison',"b""\xe2\x80\x9cI have not failed. I've just found 10,000 ways that won't work.\xe2\x80\x9d"""
b'Eleanor Roosevelt',b'misattributed-eleanor-roosevelt',"b""\xe2\x80\x9cA woman is like a tea bag; you never know how strong it is until it's in hot water.\xe2\x80\x9d"""
b'Steve Martin',b'humor',"b'\xe2\x80\x9cA day without sunshine is like, you know, night.\xe2\x80\x9d'"
b'Marilyn Monroe',b'friends',"b""\xe2\x80\x9cThis life is what you make it. No matter what, you're going to mess up sometimes, it's a universal truth. But the good part is you get to decide how you're going to mess it up. Girls will be your friends - they'll act like it anyway. But just remember, some come, some go. The ones that stay with you through everything - they're your true best friends. Don't let go of them. Also remember, sisters make the best friends in the world. As for lovers, well, they'll come and go too. And baby, I hate to say it, most of them - actually pretty much all of them are going to break your heart, but you can't give up because if you give up, you'll never find your soulmate. You'll never find that half who makes you whole and that goes for everything. Just because you fail once, doesn't mean you're gonna fail at everything. Keep trying, hold on, and always, always, always believe in yourself, because if you don't, then who will, sweetie? So keep your head high, keep your chin up, and most importantly, keep smiling, because life's a beautiful thing and there's so much to smile about.\xe2\x80\x9d"""
b'J.K. Rowling',b'courage',"b'\xe2\x80\x9cIt takes a great deal of bravery to stand up to our enemies, but just as much to stand up to our friends.\xe2\x80\x9d'"
b'Albert Einstein',b'simplicity',"b""\xe2\x80\x9cIf you can't explain it to a six year old, you don't understand it yourself.\xe2\x80\x9d"""
